Time,avg,min,max
2015-12-27 00:00:00 UTC,280.6113268,284.9060396,275.1260679
2015-12-28 00:00:00 UTC,284.6405093,287.5137036,280.5033872
2015-12-29 00:00:00 UTC,285.8317482,292.1992073,279.997692
2015-12-30 00:00:00 UTC,289.412178,293.3850218,284.0866078
2015-12-31 00:00:00 UTC,287.757137,294.2555421,281.1424881
2016-01-01 00:00:00 UTC,293.7395818,296.2117213,290.0103615
2016-01-02 00:00:00 UTC,294.0673931,296.0622909,292.3469089
2016-01-03 00:00:00 UTC,291.3159661,294.4728953,287.1648134
2016-01-04 00:00:00 UTC,293.3703219,296.0329564,290.9113671
2016-01-05 00:00:00 UTC,294.6083569,296.0388988,292.5139899
2016-01-06 00:00:00 UTC,293.9369378,295.2576882,290.6983221
2016-01-07 00:00:00 UTC,307.6461858,315.0629373,293.1526622
2016-01-08 00:00:00 UTC,312.3786033,318.4445889,307.5276757
2016-01-09 00:00:00 UTC,310.5457282,313.6236908,306.9501731
2016-01-10 00:00:00 UTC,306.8414255,310.1842073,303.991069
2016-01-11 00:00:00 UTC,307.9860183,311.3407124,303.1974779
2016-01-12 00:00:00 UTC,308.5367874,311.196028,306.1995317
2016-01-13 00:00:00 UTC,297.4265641,300.5246037,294.2556241
2016-01-14 00:00:00 UTC,299.32809,301.6704237,296.5952923
2016-01-15 00:00:00 UTC,281.2621404,298.2154799,253.166863
2016-01-16 00:00:00 UTC,264.7797201,275.3539764,252.3735886
2016-01-17 00:00:00 UTC,270.2867086,274.7537555,265.3994354
2016-01-18 00:00:00 UTC,269.3009588,272.5912468,263.0054931
2016-01-19 00:00:00 UTC,269.7728257,273.4313117,265.6324034
2016-01-20 00:00:00 UTC,277.1778059,299.8243626,264.4098296
2016-01-21 00:00:00 UTC,292.352608,298.2668913,285.0117509
2016-01-22 00:00:00 UTC,275.9123178,289.0184989,261.3428251
2016-01-23 00:00:00 UTC,272.5889548,276.7276809,266.9431565
2016-01-24 00:00:00 UTC,277.9078289,284.7159785,269.546282
2016-01-25 00:00:00 UTC,278.1895353,283.9174344,272.5831622
2016-01-26 00:00:00 UTC,275.4791647,280.414468,270.3415125
2016-01-27 00:00:00 UTC,275.7713682,278.5876324,272.2726139
2016-01-28 00:00:00 UTC,267.9980977,277.7039348,263.3869244
2016-01-29 00:00:00 UTC,262.5351331,268.8198505,252.4809203
2016-01-30 00:00:00 UTC,265.1209243,267.0928463,262.5410852
2016-01-31 00:00:00 UTC,264.6931099,266.2882545,257.7435046
2016-02-01 00:00:00 UTC,260.1357665,264.4768429,255.7385246
2016-02-02 00:00:00 UTC,259.0565645,260.8459197,255.3908
2016-02-03 00:00:00 UTC,256.3617935,259.935667,251.0320313
2016-02-04 00:00:00 UTC,258.9809865,267.5710936,252.7124203
2016-02-05 00:00:00 UTC,269.7110941,272.771738,266.2843954
2016-02-06 00:00:00 UTC,270.936457,272.7691485,266.3709291
2016-02-07 00:00:00 UTC,265.4304657,266.8145631,262.9270282
2016-02-08 00:00:00 UTC,262.4011879,264.9765959,256.1318326
2016-02-09 00:00:00 UTC,258.1728694,261.5351323,256.2658797
2016-02-10 00:00:00 UTC,260.6824162,265.8453225,257.5345344
2016-02-11 00:00:00 UTC,261.4883025,264.1733992,259.1060707
2016-02-12 00:00:00 UTC,262.1564946,264.8493088,257.6736413
2016-02-13 00:00:00 UTC,267.5632899,269.3703391,262.8608441
2016-02-14 00:00:00 UTC,274.2853863,280.9092002,267.7095061
2016-02-15 00:00:00 UTC,278.3385841,283.5079861,274.1562987
2016-02-16 00:00:00 UTC,280.2566031,285.9249,274.1939966
2016-02-17 00:00:00 UTC,289.4318189,295.2414217,282.8904176
2016-02-18 00:00:00 UTC,293.0677019,297.2124239,276.3476888
2016-02-19 00:00:00 UTC,292.795675,296.0180094,289.1426262
2016-02-20 00:00:00 UTC,298.6841006,308.5241841,291.1017493
2016-02-21 00:00:00 UTC,305.4048072,312.4022377,296.6679141
2016-02-22 00:00:00 UTC,308.515477,312.9225118,302.8215034
2016-02-23 00:00:00 UTC,303.6269039,312.9299662,295.2065344
2016-02-24 00:00:00 UTC,302.0009514,306.0588352,293.7442801
2016-02-25 00:00:00 UTC,303.7210038,307.6853249,300.0379589
2016-02-26 00:00:00 UTC,304.387622,312.6064012,299.4424438
2016-02-27 00:00:00 UTC,312.0342916,314.8144098,310.0194594
2016-02-28 00:00:00 UTC,309.5777115,314.7999784,304.3628402
2016-02-29 00:00:00 UTC,314.7362745,319.4805376,310.2251283
